identifier,label,coupling,mean_first_order,mean_second_order,std_real_second_order,selected_scalar,increment_cv,radial_permutation_entropy,weak_record_in_released_residual_pair
audit-kuramoto-0-031,0,3.5643547980101142,0.9991478698828918,0.9965951232454917,0.7039286344540584,-0.2974241283351389,0.4381238220434246,0.5898838765233463,False
audit-kuramoto-0-032,0,3.3653888788660153,0.9993723272414456,0.9974904311226764,0.7013554635628736,-0.2760969035830914,0.4474735259611601,0.5897591777231884,False
audit-kuramoto-0-033,0,3.022248397800218,0.9953144379249035,0.9813412674216178,0.6935687440084729,-0.29952125304249444,0.4168673671959843,0.5624427553261686,False
audit-kuramoto-0-034,0,3.0348291005185715,0.9998516788191094,0.9994068068406181,0.709398031279031,-0.2775312805586587,0.44868539137767444,0.5922052233588538,False
audit-kuramoto-0-035,0,3.6052260395593243,0.9950374330429325,0.9802163538001757,0.6865346730802251,-0.3322618813441567,0.42325986509139757,0.5900741522058865,False
audit-kuramoto-0-036,0,3.250466324578542,0.9969894210390484,0.988002353594611,0.7000006059592604,-0.2994746339181967,0.42270294137079195,0.5702895992182816,False
audit-kuramoto-0-037,0,3.5409534500313145,0.9989992285098179,0.9960009946405199,0.7070599045908164,-0.2503944096234113,0.46028628961543516,0.591252444776359,False
audit-kuramoto-0-038,0,3.478909463696702,0.9983718100547083,0.9934983531206701,0.7016833029443837,-0.2938067307398608,0.4399858218634391,0.59025180540536,False
audit-kuramoto-0-039,0,3.1439141957783643,0.9968497055858199,0.9874530396620713,0.6969663936433477,-0.3294517696863293,0.4146053507056409,0.5763867497896651,False
audit-kuramoto-0-040,0,3.3360879345656715,0.9985171097246646,0.9940750492084145,0.7030711620216896,-0.2590309813875241,0.4437189426695,0.5749150736516059,False
audit-kuramoto-0-041,0,3.853244883781077,0.9974098729446117,0.9896792572663481,0.6991355728892974,-0.2955440668968864,0.436825360311983,0.5870309531629826,False
audit-kuramoto-0-042,0,3.778151423246659,0.9976846838224671,0.9907686617500437,0.6981305554719586,-0.271837044826422,0.4402505195003265,0.5777729507659141,False
